id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,31,3,4,4.0000454646,M.USER.APP.4,172,3409845,0
1,LINK,3,22,4,4.0000454646,M.USER.APP.4,176.0000454646,3409845,0
2,LINK,46,19,4,4.0000454646,M.USER.APP.4,202,3409845,0
3,LINK,30,1,7,3.00005801244,M.USER.APP.7,202,4350933,1
1,LINK,22,3,4,4.000041452746666,4_(19-21),234.64190184797496,3108956,0
4,LINK,22,3,0,4.000041167466667,M.USER.APP.0,236,3087560,1
1,LINK,3,7,4,4.000041452746666,4_(19-21),238.64194330072164,3108956,1
5,LINK,46,19,3,4.000033926453334,M.USER.APP.3,239,2544484,2
6,LINK,6,4,9,3.0000234674133335,M.USER.APP.9,240,1760056,3
4,LINK,3,12,0,4.000041167466667,M.USER.APP.0,242.6419844681883,3087560,3
1,LINK,7,19,4,4.000041452746666,4_(19-21),242.6419847534683,3108956,3
6,LINK,4,23,9,4.0000234674133335,M.USER.APP.9,243.00002346741334,1760056,3
5,LINK,19,7,3,4.000033926453334,M.USER.APP.3,243.00003392645334,2544484,3
5,LINK,7,3,3,4.000033926453334,M.USER.APP.3,247.00006785290668,2544484,0
5,LINK,3,12,3,4.000033926453334,M.USER.APP.3,251.00010177936002,2544484,0
2,LINK,19,7,4,4.000027032986667,4_(19-20),257.4236043618431,2027474,0
2,LINK,19,18,4,2.0000245025733334,4_(19-22),257.4236043618431,1837693,1
2,LINK,18,36,4,3.0000245025733334,4_(19-22),259.42362886441646,1837693,1
2,LINK,7,4,4,3.0000270329866665,4_(19-20),261.4236313948298,2027474,1
3,LINK,1,0,7,4.000049502466666,7_(29-30),265.745475527715,3712685,0
3,LINK,0,4,7,2.0000495024666667,7_(29-30),269.7455250301816,3712685,0
3,LINK,4,38,7,4.000054345,7_(30-31),314.92960231042605,4075875,0
3,LINK,4,0,7,2.0000517968266665,7_(30-33),314.92960231042605,3884762,1
3,LINK,0,1,7,4.000051796826667,7_(30-33),316.9296541072527,3884762,1
7,LINK,32,4,9,3.0000234674133335,M.USER.APP.9,320,1760056,1
7,LINK,4,23,9,4.0000234674133335,M.USER.APP.9,323.0000234674133,1760056,0
