id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,44,5,5,4.00002076648,M.USER.APP.5,200,1557486,0
1,LINK,5,3,5,4.00002076648,M.USER.APP.5,204.00002076648,1557486,0
2,LINK,51,14,6,4.0000458704533335,M.USER.APP.6,259,3440284,0
2,LINK,14,3,6,4.0000458704533335,M.USER.APP.6,263.00004587045333,3440284,0
2,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,267.00009174090667,3440284,0
3,LINK,20,1,4,3.000058898333333,M.USER.APP.4,277,4417375,0
3,LINK,1,3,4,3.000058898333333,M.USER.APP.4,280.00005889833335,4417375,0
3,LINK,3,9,4,3.000058898333333,M.USER.APP.4,283.0001177966667,4417375,0
4,LINK,42,3,9,3.00003905188,M.USER.APP.9,312,2928891,0
4,LINK,3,33,9,4.00003905188,M.USER.APP.9,315.00003905188,2928891,0
5,LINK,22,0,3,4.000031804293333,M.USER.APP.3,333,2385322,0
6,LINK,44,27,0,2.0000378778533334,M.USER.APP.0,336,2840839,1
5,LINK,0,13,3,3.000031804293333,M.USER.APP.3,337.0000318042933,2385322,1
6,LINK,27,10,0,3.0000378778533334,M.USER.APP.0,338.00003787785334,2840839,1
5,LINK,13,56,3,4.000031804293333,M.USER.APP.3,340.00006360858663,2385322,1
6,LINK,10,13,0,3.0000378778533334,M.USER.APP.0,341.0000757557067,2840839,1
7,LINK,20,1,6,3.0000458704533335,M.USER.APP.6,347,3440284,0
7,LINK,1,3,6,3.0000458704533335,M.USER.APP.6,350.00004587045333,3440284,0
7,LINK,3,9,6,3.0000458704533335,M.USER.APP.6,353.00009174090667,3440284,0
8,LINK,44,5,1,4.000055303946667,M.USER.APP.1,362,4147796,0
9,LINK,41,5,8,4.0000561934,M.USER.APP.8,366,4214505,1
8,LINK,5,3,1,4.000055303946667,M.USER.APP.1,366.0000553039467,4147796,1
10,LINK,44,5,2,4.000050567933333,M.USER.APP.2,369,3792595,2
9,LINK,5,9,8,6.0000561934,M.USER.APP.8,370.0000561934,4214505,2
8,LINK,3,26,1,3.0000553039466666,M.USER.APP.1,370.00011060789336,4147796,2
10,LINK,5,3,2,4.000050567933333,M.USER.APP.2,373.00005056793333,3792595,2
11,LINK,41,2,1,3.0000553039466666,M.USER.APP.1,408,4147796,0
11,LINK,2,38,1,3.0000553039466666,M.USER.APP.1,411.0000553039467,4147796,0
